mode,pred_len,seed,window_start,sq_err,abs_err
CD,96,42,11759,0.21411196887493134,0.34221699833869934
CD,96,42,11760,0.21928033232688904,0.3422785699367523
CD,96,42,11761,0.22308145463466644,0.33889150619506836
CD,96,42,11762,0.21824827790260315,0.34215885400772095
CD,96,42,11763,0.1988530158996582,0.3371184766292572
CD,96,42,11764,0.2175285965204239,0.3441174030303955
CD,96,42,11765,0.2237480729818344,0.3470441699028015
CD,96,42,11766,0.22811558842658997,0.34183090925216675
CD,96,42,11767,0.2284495085477829,0.34035006165504456
CD,96,42,11768,0.22543294727802277,0.33270999789237976
CD,96,42,11769,0.21140345931053162,0.3271988034248352
CD,96,42,11770,0.20426905155181885,0.3287641108036041
CD,96,42,11771,0.20686642825603485,0.3307754695415497
CD,96,42,11772,0.20843054354190826,0.3311053514480591
CD,96,42,11773,0.20527058839797974,0.3283895254135132
CD,96,42,11774,0.21278025209903717,0.3296002447605133
CD,96,42,11775,0.2000422477722168,0.31734177470207214
CD,96,42,11776,0.20303791761398315,0.3168526887893677
CD,96,42,11777,0.19233545660972595,0.3081948757171631
CD,96,42,11778,0.19455783069133759,0.3109051585197449
CD,96,42,11779,0.19045326113700867,0.3063066303730011
CD,96,42,11780,0.195036843419075,0.30982980132102966
CD,96,42,11781,0.19088886678218842,0.3052632510662079
CD,96,42,11782,0.18858949840068817,0.30286917090415955
CD,96,42,11783,0.1895710825920105,0.30242398381233215
CD,96,42,11784,0.1900635063648224,0.3028845191001892
CD,96,42,11785,0.20171120762825012,0.30847427248954773
CD,96,42,11786,0.19933132827281952,0.3093263506889343
CD,96,42,11787,0.19930391013622284,0.3160163164138794
CD,96,42,11788,0.21332722902297974,0.3231355547904968
CD,96,42,11789,0.21342873573303223,0.3200913369655609
CD,96,42,11790,0.20783233642578125,0.31937873363494873
CD,96,42,11791,0.21669329702854156,0.323067843914032
CD,96,42,11792,0.21817302703857422,0.32463186979293823
CD,96,42,11793,0.21320897340774536,0.3206644058227539
CD,96,42,11794,0.2088041752576828,0.3145415186882019
CD,96,42,11795,0.2098192721605301,0.3128020465373993
CD,96,42,11796,0.20700891315937042,0.3152764141559601
CD,96,42,11797,0.19590632617473602,0.30118492245674133
CD,96,42,11798,0.20107264816761017,0.3008101284503937
CD,96,42,11799,0.20160675048828125,0.3037385940551758
CD,96,42,11800,0.19683174788951874,0.29687830805778503
CD,96,42,11801,0.19074590504169464,0.2947942614555359
CD,96,42,11802,0.19547908008098602,0.3014579117298126
CD,96,42,11803,0.19813069701194763,0.3048747181892395
CD,96,42,11804,0.20372945070266724,0.31311553716659546
CD,96,42,11805,0.1964227557182312,0.3077881336212158
CD,96,42,11806,0.19625870883464813,0.3047061562538147
CD,96,42,11807,0.195787250995636,0.3015913963317871
CD,96,42,11808,0.2005319595336914,0.3061670660972595
CD,96,42,11809,0.20554056763648987,0.30590105056762695
CD,96,42,11810,0.20459763705730438,0.30313023924827576
CD,96,42,11811,0.22486700117588043,0.30866119265556335
CD,96,42,11812,0.2555854320526123,0.32194533944129944
CD,96,42,11813,0.2537258565425873,0.3177012503147125
CD,96,42,11814,0.25045010447502136,0.31740835309028625
CD,96,42,11815,0.2709464132785797,0.32327380776405334
CD,96,42,11816,0.2618527412414551,0.3241333067417145
CD,96,42,11817,0.24385151267051697,0.31429290771484375
CD,96,42,11818,0.2691742181777954,0.3240235149860382
CD,96,42,11819,0.28596845269203186,0.3275882303714752
CD,96,42,11820,0.29719656705856323,0.3347439467906952
CD,96,42,11821,0.28636282682418823,0.3419142961502075
